FID,PU_ID,Area,Hectares,BlockID,Xcoord,Ycoord,DEPTH,BT_NUM,BT_Code,Fetch
52,40707,0.341261448,34.12614479,1,651235.9067,788103.9247,-2,1,1,47.83289176
53,40708,0.282030429,28.20304293,1,655782.4801,788384.3784,0,1,1,21.74501427
54,40709,0.208825613,20.88256132,1,656234.1047,787954.5435,-13,1,1,32.21586071
55,40711,0.071790087,7.179008742,1,658742.5216,788559.134,-40,1,1,61.155665
56,40979,0.000567715,0.056771474,1,647718.4377,789576.8421,0,0,0,0
57,40980,0.005889767,0.588976714,1,648497.4264,789333.2158,0,0,0,0
58,40981,0.562805618,56.28056181,1,649744.1627,789244.6868,-31,1,1,70.92236214
59,40982,0.281789938,28.17899377,1,650258.1236,789035.7077,-6,8,1a,56.77439556
60,40983,0.013258874,1.325887352,1,655029.2978,789548.8418,0,0,0,0
61,40984,0.67144201,67.14420103,1,655476.7645,789158.3786,-19,2,3a,23.60946138
62,40985,0.02986166,2.986166035,1,656973.0914,789572.6605,-41,2,3a,28.26846
63,40986,0.465595749,46.55957493,1,657598.0491,789193.1864,-28,1,1,33.63059773
64,40987,0.681745013,68.17450133,1,658564.3319,789035.4499,-19,1,1,46.43658333
65,40988,0.396739901,39.67399007,1,659378.4654,789345.6403,-25,2,3a,64.13964705
66,41261,0.000104813,0.010481285,1,647055.6067,789685.114,0,0,0,0
67,41262,0.007152922,0.715292243,1,647505.3292,789960.2615,-50,1,1,77.209795
68,41264,0.249382115,24.93821149,1,649829.8911,789901.9892,-34,1,1,65.08838304
69,41265,0.835697017,83.56970166,1,650584.8673,790132.2501,-26,2,3a,37.29446438
70,41266,0.547492754,54.74927544,1,651441.9618,790329.3114,-13,2,3a,27.02340166
71,41267,0.033327919,3.332791912,1,652140.5193,790542.6478,-1,8,1a,18.07413844
72,41268,0.002527018,0.252701758,1,654039.4243,790622.7074,0,0,0,0
73,41269,0.478609408,47.86094082,1,654691.7787,790355.5102,-2,2,3a,11.84510482
74,41270,0.815656724,81.56567242,1,655500.2252,790206.2127,-26,2,3a,19.97913818
75,41271,0.712765115,71.2765115,1,656530.8142,790164.4259,-28,2,3a,18.68821999
76,41272,0.066285907,6.628590707,1,657172.452,789781.5036,-14,1,1,17.02376771
77,41273,0.463337072,46.33370723,1,658685.9719,790372.3718,-6,1,1,33.0196525
78,41274,0.688820146,68.88201462,1,659491.7024,790044.2419,-24,2,3a,51.80965234
79,41275,0.006057559,0.605755934,1,660080.4411,790021.8483,-37,2,3a,63.07253
80,41536,0.000233725,0.023372534,1,648048.4442,790790.4845,0,0,0,0
