Sighting,Depth,Count
0,2.803634167,1
0,2.812137842,1
0,2.960660934,1
0,2.963084698,1
0,3.066208601,1
0,3.073768616,1
0,3.106775522,1
0,3.154921293,1
0,3.164076567,1
0,3.181500673,1
0,3.192882299,1
0,3.278025866,1
0,3.353719234,1
0,3.361313581,1
0,3.386476278,1
0,3.386580467,1
0,3.414828539,1
0,3.430835962,1
0,3.434857607,1
0,3.556239367,1
0,3.556770802,1
0,3.564216852,1
0,3.579257965,1
0,3.655455112,1
0,3.666161299,1
0,3.716782808,1
0,3.753872633,1
0,3.79321456,1
0,3.819940329,1
0,3.856836319,1
0,3.865600824,1
0,3.891710997,1
0,3.916639328,1
0,3.957752228,1
0,3.963439465,1
0,3.988015413,1
0,3.998679876,1
0,4.009263039,1
0,4.019109726,1
0,4.042020798,1
0,4.067893505,1
0,4.087424755,1
0,4.164108753,1
0,4.184327126,1
0,4.191710472,1
0,4.205628872,1
0,4.21233654,1
0,4.273320675,1
0,4.311524868,1
0,4.334643841,1
0,4.33972168,1
0,4.342627048,1
0,4.352566719,1
0,4.361384392,1
0,4.4336586,1
0,4.439589024,1
0,4.468920708,1
0,4.499615192,1
0,4.51147604,1
0,4.512448311,1
0,4.583807468,1
0,4.584012032,1
0,4.595429897,1
0,4.614542007,1
0,4.620323181,1
0,4.622914314,1
0,4.628761768,1
0,4.641953468,1
0,4.736922741,1
0,4.74650526,1
0,4.748777866,1
0,4.77593565,1
0,4.813780308,1
0,4.821279526,1
0,4.867449284,1
0,4.888888359,1
0,4.898268223,1
0,4.914848328,1
0,4.97024107,1
0,5.036496162,1
0,5.045612812,1
0,5.05302,1
0,5.106800079,1
0,5.136208057,1
0,5.197703362,1
0,5.233826637,1
0,5.237623692,1
0,5.272747517,1
0,5.290240765,1
0,5.299153328,1
0,5.391400337,1
0,5.396711826,1
0,5.402407646,1
0,5.408398628,1
0,5.423455715,1
0,5.568182945,1
0,5.614042759,1
0,5.629009247,1
0,5.630058765,1
0,5.669343472,1
0,5.72009325,1
0,5.739471912,1
0,5.823399067,1
0,5.855397224,1
