LCD,LCD_km,Euc_Dist,Start_X,Start_Y,Season_end,Otter,Age_Start,Sex,Ageglass,SexN,Territorial,Start_date,End_date,Days,Age_end,,,Reloc_Order_start,Reloc_Order_end,Long.Zone,Season_start,Start,,End_Windowbegin,,End_Windowend,
20831,20.831,11552,551446.28,6301607.02,3,7,3,M,1,2,NT,4/16/2012,4/11/2013,360,4,,12:43:00,11,35,8,m,4/16/2012,9:50:00,2/15/2013,15:30:00,6/15/2013,16:30:00
23059,23.059,10561,551732.92,6301023.1,3,7,3,M,1,2,NT,4/24/2012,4/16/2013,357,4,,16:32:00,12,36,8,m,4/24/2012,13:21:00,2/23/2013,19:01:00,6/23/2013,20:01:00
49947,49.947,32489,550831.33,6304608.03,3,7,3,M,1,2,NT,5/20/2012,5/7/2013,352,4,,14:12:00,18,37,8,m,5/20/2012,9:31:00,3/21/2013,16:11:00,7/19/2013,16:11:00
46892,46.892,27174,546868.25,6280982.72,2,7,4,M,2,2,NT,11/17/2012,10/17/2013,334,5,,15:34:00,32,48,8,m,11/17/2012,12:06:00,9/18/2013,19:46:00,1/16/2014,18:46:00
1566,1.566,1409,541686.12,6298823.36,1,7,3,M,1,2,NT,8/29/2012,8/15/2013,351,4,,9:52:00,25,42,8,m,8/29/2012,17:58:00,7/1/2013,0:38:00,10/29/2013,0:38:00
2097,2.097,2048,540926.71,6299109.18,1,7,3,M,1,2,NT,7/22/2012,8/22/2013,396,4,,14:21:00,22,43,8,m,7/22/2012,12:50:00,5/23/2013,19:30:00,9/20/2013,19:30:00
30999,30.999,26320,561787.7,6305661,3,8,8,M,2,2,NT,4/16/2012,5/7/2013,386,10,,16:11:00,10,20,8,m,4/16/2012,11:35:00,2/15/2013,17:15:00,6/15/2013,18:15:00
22562,22.562,18723,562614.72,6300934.21,2,8,8,M,2,2,NT,11/12/2011,11/17/2012,371,9,,12:07:00,7,19,8,m,11/12/2011,12:50:00,9/12/2012,20:30:00,1/10/2013,19:30:00
32365,32.365,12754,550037.81,6304700.29,3,8,7,M,2,2,NT,6/24/2011,4/27/2012,308,8,,14:00:00,2,11,8,m,6/24/2011,12:36:00,4/24/2012,19:16:00,8/22/2012,19:16:00
60858,60.858,37086,541374.29,6298162.36,2,8,8,M,2,2,NT,10/6/2011,11/17/2012,408,9,,12:07:00,6,19,8,m,10/6/2011,11:20:00,8/6/2012,18:00:00,12/4/2012,17:00:00
30248,30.248,26636,563637.4,6307209.53,3,8,8,M,2,2,NT,3/29/2012,5/7/2013,404,10,,16:11:00,9,20,8,m,3/29/2012,12:21:00,1/28/2013,18:01:00,5/28/2013,19:01:00
28548,28.548,21518,561536.87,6299184.33,3,8,8,M,2,2,NT,4/27/2012,5/7/2013,375,10,,16:11:00,11,20,8,m,4/27/2012,14:00:00,2/26/2013,19:40:00,6/26/2013,20:40:00
28025,28.025,12155,550037.81,6304700.29,1,8,7,M,2,2,NT,6/24/2011,5/16/2012,327,8,,15:34:00,2,12,8,m,6/24/2011,12:36:00,4/24/2012,19:16:00,8/22/2012,19:16:00
21142,21.142,18228,564554.13,6302390.38,2,8,8,M,2,2,NT,12/20/2011,11/17/2012,333,9,,12:07:00,8,19,8,m,12/20/2011,12:30:00,10/20/2012,20:10:00,2/17/2013,19:10:00
29088,29.088,23859,562821.55,6303374.91,3,8,8,M,2,2,NT,5/20/2012,5/7/2013,352,10,,16:11:00,13,20,8,m,5/20/2012,11:44:00,3/21/2013,18:24:00,7/19/2013,18:24:00
28853,28.853,24123,563077.02,6303882.21,3,8,8,M,2,2,NT,5/21/2012,5/7/2013,351,10,,16:11:00,14,20,8,m,5/21/2012,15:34:00,3/22/2013,22:14:00,7/20/2013,22:14:00
2463,2.463,2543,542173.81,6298144.31,1,8,7,M,2,2,NT,8/1/2011,8/3/2012,368,8,,8:52:00,4,17,8,m,8/1/2011,15:19:00,6/1/2012,21:59:00,9/29/2012,21:59:00
53541,53.541,31104,577432.04,6289489.43,2,8,9,M,2,2,NT,11/17/2012,10/9/2013,326,10,,13:11:00,19,21,8,m,11/17/2012,12:07:00,9/18/2013,19:47:00,1/16/2014,18:47:00
30248,30.248,26636,563637.4,6307209.53,3,8,8,M,2,2,NT,3/29/2012,5/7/2013,404,10,,16:11:00,9,20,8,m,3/29/2012,12:21:00,1/28/2013,18:01:00,5/28/2013,19:01:00
